"Id","y_2011-2015"
9003500100,1246
9003500200,823
9003500300,806
9003500400,588
9003500500,631
9003500700,15
9003500900,690
9003501200,822
9003501300,475
9003501400,853
9003501500,1102
9003501700,594
9003501800,729
9003502100,1391
9003502300,2825
9003502400,2839
9003502500,770
9003502600,1535
9003502700,1544
9003502800,1079
9003502900,1271
9003503000,950
9003503100,2089
9003503300,1364
9003503500,538
9003503700,935
9003503800,991
9003503900,2311
9003504000,1537
9003504100,688
9003504200,2360
9003504300,984
9003504500,1584
9003504800,1795
9003504900,1664
9003524400,963
9003524501,1444
9003524502,1098
9003524600,1531
9003524700,1393
