"Id","y_2011-2015"
9003500100,1650
9003500200,1085
9003500300,959
9003500400,832
9003500500,708
9003500700,15
9003500900,936
9003501200,1127
9003501300,678
9003501400,1173
9003501500,1750
9003501700,688
9003501800,1160
9003502100,1461
9003502300,3306
9003502400,3292
9003502500,950
9003502600,1875
9003502700,1851
9003502800,1331
9003502900,1663
9003503000,1212
9003503100,2362
9003503300,1523
9003503500,754
9003503700,1326
9003503800,1090
9003503900,2657
9003504000,2061
9003504100,808
9003504200,2680
9003504300,1268
9003504500,2013
9003504800,2129
9003504900,2224
9003524400,1496
9003524501,1616
9003524502,1262
9003524600,1892
9003524700,1729
