"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","White 16 Years Old in Civilian Labor Force:","White 16 Years Old in Civilian Labor Force: Employed","White 16 Years Old in Civilian Labor Force: Unemployed","Black or African American 16 Years Old in  Civilian Labor Force:","Black or African American 16 Years Old in  Civilian Labor Force: Employed","Black or African American 16 Years Old in  Civilian Labor Force: Unemployed","American Indian and Alaska Native 16 Years Old in  Civilian Labor Force:","American Indian and Alaska Native 16 Years Old in  Civilian Labor Force: Employed","American Indian and Alaska Native 16 Years Old in  Civilian Labor Force: Unemployed","Asian 16 Years Old in Civilian Labor Force:","Asian 16 Years Old in Civilian Labor Force: Employed","Asian 16 Years Old in Civilian Labor Force: Unemployed","Native Hawaiian and Other Pacific Islander 16  Years Old in Civilian Labor Force:","Native Hawaiian and Other Pacific Islander 16  Years Old In&nbsp; Civilian Labor Force: Employed","Native Hawaiian and Other Pacific Islander 16  Years Old In&nbsp; Civilian Labor Force: Unemployed","Some Other Race 16 Years Old in Civilian Labor Force:","Some Other Race 16 Years Old in Civilian Labor Force: Employed","Some Other Race 16 Years Old in Civilian Labor Force: Unemployed","Two or More Races 16 Years Old in Civilian Labor Force:","Two or More Races 16 Years Old in Civilian Labor Force: Employed","Two or More Races 16 Years Old in Civilian Labor Force: Unemployed","Hispanic or Latino 16 Years Old in Civilian Labor Force:","Hispanic or Latino 16 Years Old in Civilian Labor Force: Employed","Hispanic or Latino 16 Years Old in Civilian Labor Force: Unemployed","White Alone, Not Hispanic or Latino 16 Years Old  in Civilian Labor Force:","White Alone, Not Hispanic or Latino 16 Years Old  In&nbsp; Civilian Labor Force: Employed","White Alone, Not Hispanic or Latino 16 Years Old  In&nbsp; Civilian Labor Force: Unemployed"
"09003501400","14000US09003501400","Census Tract 5014, Hartford County, Connecticut","Census Tract 5014, Hartford County, Connecticut","ct","140","00","ACSSF","0000846",,,,,"09","003",,,,"501400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2823,2823,19760.86,0.142858190848761,46,9,37,924,684,240,0,0,0,0,0,0,0,0,0,103,88,15,100,72,28,253,151,102,9,9,0
"09003501500","14000US09003501500","Census Tract 5015, Hartford County, Connecticut","Census Tract 5015, Hartford County, Connecticut","ct","140","00","ACSSF","0000847",,,,,"09","003",,,,"501500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3718,3718,5380.583,0.691003201559235,98,53,45,1473,959,514,0,0,0,0,0,0,0,0,0,161,90,71,18,0,18,221,132,89,69,24,45
"09003501700","14000US09003501700","Census Tract 5017, Hartford County, Connecticut","Census Tract 5017, Hartford County, Connecticut","ct","140","00","ACSSF","0000848",,,,,"09","003",,,,"501700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1495,13010.9,0.114903621175079,132,128,4,343,317,26,0,0,0,7,7,0,0,0,0,144,102,42,62,40,22,367,307,60,11,11,0
"09003501800","14000US09003501800","Census Tract 5018, Hartford County, Connecticut","Census Tract 5018, Hartford County, Connecticut","ct","140","00","ACSSF","0000849",,,,,"09","003",,,,"501800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2757,2757,13921.11,0.198044546924542,182,106,76,513,335,178,42,14,28,0,0,0,0,0,0,375,246,129,48,28,20,584,339,245,55,46,9
"09003502100","14000US09003502100","Census Tract 5021, Hartford County, Connecticut","Census Tract 5021, Hartford County, Connecticut","ct","140","00","ACSSF","0000850",,,,,"09","003",,,,"502100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,2001,2253.858,0.887811063217281,899,869,30,259,220,39,1,1,0,236,235,1,0,0,0,38,38,0,28,28,0,97,97,0,835,805,30
"09003502300","14000US09003502300","Census Tract 5023, Hartford County, Connecticut","Census Tract 5023, Hartford County, Connecticut","ct","140","00","ACSSF","0000851",,,,,"09","003",,,,"502300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6072,6072,9110.984,0.666448261536347,1915,1666,249,597,516,81,25,0,25,93,79,14,0,0,0,582,481,101,94,83,11,1641,1320,321,895,830,65
"09003502400","14000US09003502400","Census Tract 5024, Hartford County, Connecticut","Census Tract 5024, Hartford County, Connecticut","ct","140","00","ACSSF","0000852",,,,,"09","003",,,,"502400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6606,6606,23339.75,0.28303644650091,1846,1734,112,694,505,189,0,0,0,0,0,0,0,0,0,681,539,142,71,61,10,2341,2001,340,477,426,51
"09003502500","14000US09003502500","Census Tract 5025, Hartford County, Connecticut","Census Tract 5025, Hartford County, Connecticut","ct","140","00","ACSSF","0000853",,,,,"09","003",,,,"502500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1912,914.3432,2.09111856888912,482,409,73,175,152,23,0,0,0,11,11,0,0,0,0,233,165,68,49,33,16,592,469,123,151,128,23
"09003502600","14000US09003502600","Census Tract 5026, Hartford County, Connecticut","Census Tract 5026, Hartford County, Connecticut","ct","140","00","ACSSF","0000854",,,,,"09","003",,,,"502600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3916,3916,18549.99,0.211105225197955,981,821,160,401,378,23,0,0,0,38,38,0,0,0,0,434,277,157,21,21,0,1092,802,290,356,319,37
"09003502700","14000US09003502700","Census Tract 5027, Hartford County, Connecticut","Census Tract 5027, Hartford County, Connecticut","ct","140","00","ACSSF","0000855",,,,,"09","003",,,,"502700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5080,5080,14572.28,0.348607020573068,898,800,98,342,266,76,14,14,0,95,53,42,0,0,0,434,343,91,68,68,0,919,736,183,487,448,39
"09003502800","14000US09003502800","Census Tract 5028, Hartford County, Connecticut","Census Tract 5028, Hartford County, Connecticut","ct","140","00","ACSSF","0000856",,,,,"09","003",,,,"502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2796,2796,15542.3,0.179896200291275,591,522,69,243,170,73,0,0,0,0,0,0,0,0,0,462,371,91,35,16,19,1099,896,203,56,54,2
"09003502900","14000US09003502900","Census Tract 5029, Hartford County, Connecticut","Census Tract 5029, Hartford County, Connecticut","ct","140","00","ACSSF","0000857",,,,,"09","003",,,,"502900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3326,3326,11193.84,0.297127631479374,675,583,92,513,327,186,0,0,0,104,104,0,0,0,0,289,202,87,82,55,27,791,547,244,281,262,19
"09003503000","14000US09003503000","Census Tract 5030, Hartford County, Connecticut","Census Tract 5030, Hartford County, Connecticut","ct","140","00","ACSSF","0000858",,,,,"09","003",,,,"503000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3299,3299,20228.44,0.163087242103052,336,286,50,373,328,45,49,29,20,0,0,0,0,0,0,349,235,114,105,72,33,795,620,175,34,1,33
"09003503100","14000US09003503100","Census Tract 5031, Hartford County, Connecticut","Census Tract 5031, Hartford County, Connecticut","ct","140","00","ACSSF","0000859",,,,,"09","003",,,,"503100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886,3886,14338.03,0.271027510552172,739,678,61,1169,1013,156,0,0,0,194,141,53,0,0,0,252,249,3,8,8,0,473,445,28,581,545,36
"09003503300","14000US09003503300","Census Tract 5033, Hartford County, Connecticut","Census Tract 5033, Hartford County, Connecticut","ct","140","00","ACSSF","0000860",,,,,"09","003",,,,"503300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2675,2675,25203.51,0.106136012985388,472,409,63,756,679,77,0,0,0,22,22,0,0,0,0,189,170,19,84,84,0,535,447,88,126,117,9
"09003503500","14000US09003503500","Census Tract 5035, Hartford County, Connecticut","Census Tract 5035, Hartford County, Connecticut","ct","140","00","ACSSF","0000861",,,,,"09","003",,,,"503500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608,1608,18639.1,0.0862702838777631,103,62,41,513,416,97,0,0,0,0,0,0,0,0,0,103,37,66,35,23,12,243,95,148,4,4,0
"09003503700","14000US09003503700","Census Tract 5037, Hartford County, Connecticut","Census Tract 5037, Hartford County, Connecticut","ct","140","00","ACSSF","0000862",,,,,"09","003",,,,"503700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478,2478,10571.07,0.234413441297798,67,28,39,1152,800,352,0,0,0,19,19,0,0,0,0,21,21,0,67,67,0,60,21,39,28,28,0
"09003503800","14000US09003503800","Census Tract 5038, Hartford County, Connecticut","Census Tract 5038, Hartford County, Connecticut","ct","140","00","ACSSF","0000863",,,,,"09","003",,,,"503800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3401,3401,4753.498,0.715473199103625,590,532,58,302,277,25,0,0,0,42,42,0,3,3,0,96,80,16,57,57,0,159,127,32,538,496,42
"09003503900","14000US09003503900","Census Tract 5039, Hartford County, Connecticut","Census Tract 5039, Hartford County, Connecticut","ct","140","00","ACSSF","0000864",,,,,"09","003",,,,"503900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5009,5009,7229.874,0.692819812292567,30,30,0,2573,2227,346,0,0,0,0,0,0,0,0,0,33,33,0,21,21,0,54,54,0,19,19,0
"09003504000","14000US09003504000","Census Tract 5040, Hartford County, Connecticut","Census Tract 5040, Hartford County, Connecticut","ct","140","00","ACSSF","0000865",,,,,"09","003",,,,"504000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657,3657,10199.38,0.358551082089956,53,53,0,1970,1446,524,0,0,0,0,0,0,10,10,0,0,0,0,28,28,0,28,28,0,43,43,0
"09003504100","14000US09003504100","Census Tract 5041, Hartford County, Connecticut","Census Tract 5041, Hartford County, Connecticut","ct","140","00","ACSSF","0000866",,,,,"09","003",,,,"504100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,1694,13615.44,0.124417564869026,403,335,68,199,160,39,0,0,0,5,5,0,0,0,0,194,181,13,7,7,0,494,387,107,126,126,0
"09003504200","14000US09003504200","Census Tract 5042, Hartford County, Connecticut","Census Tract 5042, Hartford County, Connecticut","ct","140","00","ACSSF","0000867",,,,,"09","003",,,,"504200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5238,5238,11613.32,0.45103374996332,1641,1554,87,447,343,104,22,22,0,46,46,0,0,0,0,216,157,59,308,238,70,669,540,129,1424,1337,87
"09003504300","14000US09003504300","Census Tract 5043, Hartford County, Connecticut","Census Tract 5043, Hartford County, Connecticut","ct","140","00","ACSSF","0000868",,,,,"09","003",,,,"504300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761,2761,8817.575,0.313124616793591,577,496,81,311,236,75,0,0,0,45,30,15,0,0,0,323,210,113,12,12,0,665,505,160,271,237,34
"09003504500","14000US09003504500","Census Tract 5045, Hartford County, Connecticut","Census Tract 5045, Hartford County, Connecticut","ct","140","00","ACSSF","0000869",,,,,"09","003",,,,"504500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4062,4062,11858.56,0.342537494382213,599,518,81,487,376,111,52,52,0,13,13,0,0,0,0,698,494,204,164,131,33,1387,1065,322,83,73,10
"09003504800","14000US09003504800","Census Tract 5048, Hartford County, Connecticut","Census Tract 5048, Hartford County, Connecticut","ct","140","00","ACSSF","0000870",,,,,"09","003",,,,"504800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4191,4191,7276.388,0.575972552768584,700,588,112,373,294,79,0,0,0,85,64,21,0,0,0,789,693,96,182,156,26,1412,1184,228,289,259,30
"09003504900","14000US09003504900","Census Tract 5049, Hartford County, Connecticut","Census Tract 5049, Hartford County, Connecticut","ct","140","00","ACSSF","0000871",,,,,"09","003",,,,"504900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4422,4422,7358.682,0.600922861418663,913,778,135,734,517,217,0,0,0,36,13,23,0,0,0,295,203,92,246,153,93,1267,974,293,195,152,43
"09003524400","14000US09003524400","Census Tract 5244, Hartford County, Connecticut","Census Tract 5244, Hartford County, Connecticut","ct","140","00","ACSSF","0000910",,,,,"09","003",,,,"524400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243,3243,3055.67,1.06130568944721,355,230,125,1020,661,359,0,0,0,0,0,0,0,0,0,64,15,49,57,57,0,452,283,169,30,14,16
"09003524501","14000US09003524501","Census Tract 5245.01, Hartford County, Connecticut","Census Tract 5245.01, Hartford County, Connecticut","ct","140","00","ACSSF","0000911",,,,,"09","003",,,,"524501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2686,2686,16475.45,0.163030485083329,806,737,69,319,297,22,0,0,0,33,33,0,0,0,0,442,377,65,16,0,16,579,477,102,625,593,32
"09003524502","14000US09003524502","Census Tract 5245.02, Hartford County, Connecticut","Census Tract 5245.02, Hartford County, Connecticut","ct","140","00","ACSSF","0000912",,,,,"09","003",,,,"524502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122,2122,3222.194,0.65855749138606,530,530,0,582,468,114,0,0,0,31,31,0,0,0,0,99,49,50,20,20,0,183,133,50,451,451,0
"09003524600","14000US09003524600","Census Tract 5246, Hartford County, Connecticut","Census Tract 5246, Hartford County, Connecticut","ct","140","00","ACSSF","0000913",,,,,"09","003",,,,"524600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298,3298,6647.941,0.496093418193443,281,270,11,1177,836,341,0,0,0,237,237,0,0,0,0,165,156,9,32,32,0,336,301,35,142,142,0
"09003524700","14000US09003524700","Census Tract 5247, Hartford County, Connecticut","Census Tract 5247, Hartford County, Connecticut","ct","140","00","ACSSF","0000914",,,,,"09","003",,,,"524700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3232,3232,4684.886,0.689878099821312,965,779,186,285,224,61,0,0,0,44,28,16,0,0,0,346,273,73,89,89,0,1113,860,253,294,281,13
