"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Tribal Tract","Tribal Block Group","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","White 16 Years Old in Civilian Labor Force:","White 16 Years Old in Civilian Labor Force: Employed","White 16 Years Old in Civilian Labor Force: Unemployed","Black or African American 16 Years Old in  Civilian Labor Force:","Black or African American 16 Years Old in  Civilian Labor Force: Employed","Black or African American 16 Years Old in  Civilian Labor Force: Unemployed","American Indian and Alaska Native 16 Years Old in  Civilian Labor Force:","American Indian and Alaska Native 16 Years Old in  Civilian Labor Force: Employed","American Indian and Alaska Native 16 Years Old in  Civilian Labor Force: Unemployed","Asian 16 Years Old in Civilian Labor Force:","Asian 16 Years Old in Civilian Labor Force: Employed","Asian 16 Years Old in Civilian Labor Force: Unemployed","Native Hawaiian and Other Pacific Islander 16  Years Old in Civilian Labor Force:","Native Hawaiian and Other Pacific Islander 16  Years Old In&nbsp; Civilian Labor Force: Employed","Native Hawaiian and Other Pacific Islander 16  Years Old In&nbsp; Civilian Labor Force: Unemployed","Some Other Race 16 Years Old in Civilian Labor Force:","Some Other Race 16 Years Old in Civilian Labor Force: Employed","Some Other Race 16 Years Old in Civilian Labor Force: Unemployed","Two or More Races 16 Years Old in Civilian Labor Force:","Two or More Races 16 Years Old in Civilian Labor Force: Employed","Two or More Races 16 Years Old in Civilian Labor Force: Unemployed","Hispanic or Latino 16 Years Old in Civilian Labor Force:","Hispanic or Latino 16 Years Old in Civilian Labor Force: Employed","Hispanic or Latino 16 Years Old in Civilian Labor Force: Unemployed","White Alone, Not Hispanic or Latino 16 Years Old  in Civilian Labor Force:","White Alone, Not Hispanic or Latino 16 Years Old  In&nbsp; Civilian Labor Force: Employed","White Alone, Not Hispanic or Latino 16 Years Old  In&nbsp; Civilian Labor Force: Unemployed"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T040_001,SE_T040_002,SE_T040_003,SE_T041_001,SE_T041_002,SE_T041_003,SE_T042_001,SE_T042_002,SE_T042_003,SE_T043_001,SE_T043_002,SE_T043_003,SE_T044_001,SE_T044_002,SE_T044_003,SE_T045_001,SE_T045_002,SE_T045_003,SE_T046_001,SE_T046_002,SE_T046_003,SE_T047_001,SE_T047_002,SE_T047_003,SE_T048_001,SE_T048_002,SE_T048_003
"09003500100","14000US09003500100","Census Tract 5001, Hartford County, Connecticut","Census Tract 5001, Hartford County, Connecticut","ct","140","00","ACSSF","0000837",,,,,"09","003",,,,"500100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3843,3843,24664.96,0.155808057797951,449,392,57,503,373,130,16,16,0,39,20,19,0,0,0,613,440,173,30,5,25,1110,855,255,24,24,0
"09003500200","14000US09003500200","Census Tract 5002, Hartford County, Connecticut","Census Tract 5002, Hartford County, Connecticut","ct","140","00","ACSSF","0000838",,,,,"09","003",,,,"500200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646,2646,17599.38,0.150346256430532,526,399,127,383,280,103,0,0,0,35,35,0,0,0,0,110,92,18,31,17,14,632,472,160,92,76,16
"09003500300","14000US09003500300","Census Tract 5003, Hartford County, Connecticut","Census Tract 5003, Hartford County, Connecticut","ct","140","00","ACSSF","0000839",,,,,"09","003",,,,"500300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2132,2132,10388.84,0.205220255846745,367,338,29,282,228,54,14,14,0,10,10,0,0,0,0,250,192,58,36,24,12,615,543,72,80,65,15
"09003500400","14000US09003500400","Census Tract 5004, Hartford County, Connecticut","Census Tract 5004, Hartford County, Connecticut","ct","140","00","ACSSF","0000840",,,,,"09","003",,,,"500400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849,1849,5047.736,0.366302855457245,278,196,82,294,188,106,0,0,0,44,39,5,5,5,0,168,132,36,43,28,15,483,348,135,51,44,7
"09003500500","14000US09003500500","Census Tract 5005, Hartford County, Connecticut","Census Tract 5005, Hartford County, Connecticut","ct","140","00","ACSSF","0000841",,,,,"09","003",,,,"500500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1437,1437,13168.73,0.109122127206767,196,188,8,221,152,69,2,2,0,197,197,0,0,0,0,27,27,0,65,65,0,165,150,15,122,114,8
"09003500700","14000US09003500700","Census Tract 5007, Hartford County, Connecticut","Census Tract 5007, Hartford County, Connecticut","ct","140","00","ACSSF","0000842",,,,,"09","003",,,,"500700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,1083,677.3214,1.59894563218054,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09003500900","14000US09003500900","Census Tract 5009, Hartford County, Connecticut","Census Tract 5009, Hartford County, Connecticut","ct","140","00","ACSSF","0000843",,,,,"09","003",,,,"500900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356,2356,12107.41,0.194591635173599,305,271,34,415,313,102,0,0,0,0,0,0,0,0,0,158,73,85,58,33,25,494,344,150,18,15,3
"09003501200","14000US09003501200","Census Tract 5012, Hartford County, Connecticut","Census Tract 5012, Hartford County, Connecticut","ct","140","00","ACSSF","0000844",,,,,"09","003",,,,"501200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2383,2383,8431.913,0.282616753436695,66,66,0,885,629,256,6,3,3,0,0,0,0,0,0,129,99,30,41,25,16,220,162,58,29,29,0
"09003501300","14000US09003501300","Census Tract 5013, Hartford County, Connecticut","Census Tract 5013, Hartford County, Connecticut","ct","140","00","ACSSF","0000845",,,,,"09","003",,,,"501300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602,1602,15821.33,0.101255681493505,28,6,22,551,392,159,0,0,0,0,0,0,0,0,0,90,68,22,9,9,0,135,83,52,3,0,3
